SardisCity,Alabama,1798
Westover,Alabama,1796
GroveHill,Alabama,1757
Deatsville,Alabama,1730
CarbonHill,Alabama,1727
Ragland,Alabama,1707
Harpersville,Alabama,1690
Cordova,Alabama,1681
SylvanSprings,Alabama,1631
Gordo,Alabama,1612
Newton,Alabama,1607
Woodstock,Alabama,1582
Malvern,Alabama,1543
Summerdale,Alabama,1543
Reform,Alabama,1495
Flomaton,Alabama,1452
NewBrockton,Alabama,1437
Hackleburg,Alabama,1430
Ardmore,Alabama,1370
MountVernon,Alabama,1362
Rogersville,Alabama,1336
Elmore,Alabama,1335
Munford,Alabama,1333
Hayden,Alabama,1332
Georgiana,Alabama,1315
Webb,Alabama,1283
Goodwater,Alabama,1281
Coosada,Alabama,1257
Cleveland,Alabama,1243
Brookside,Alabama,1232
WestBlocton,Alabama,1226
Eclectic,Alabama,1224
Berry,Alabama,1204
Clio,Alabama,1203
LocustFork,Alabama,1198
FortDeposit,Alabama,1194
Ohatchee,Alabama,1191
FriscoCity,Alabama,1165
Falkville,Alabama,1147
DoubleSprings,Alabama,1076
TownCreek,Alabama,1053
Cottonwood,Alabama,1046
BearCreek,Alabama,1043
Grant,Alabama,1040
Killen,Alabama,1040
Littleville,Alabama,1040
Chatom,Alabama,1039
Silverhill,Alabama,1035
Snead,Alabama,1026
Steele,Alabama,1000
Carrollton,Alabama,998
CampHill,Alabama,990
PhilCampbell,Alabama,988
Millport,Alabama,982
Parrish,Alabama,980
Cherokee,Alabama,963
Fyffe,Alabama,963
Altoona,Alabama,951
Hollywood,Alabama,918
Notasulga,Alabama,916
Leesburg,Alabama,915
Geraldine,Alabama,910
Coker,Alabama,888
Powell,Alabama,882
HollyPond,Alabama,857
Skyline,Alabama,837
Brilliant,Alabama,833
Gurley,Alabama,825
MagnoliaSprings,Alabama,819
Mosses,Alabama,814
Brantley,Alabama,807
Somerville,Alabama,799
Autaugaville,Alabama,792
SusanMoore,Alabama,789
WhiteHall,Alabama,785
Hayneville,Alabama,778
Mulga,Alabama,777
WalnutGrove,Alabama,773
NewSite,Alabama,772
HobsonCity,Alabama,768
Section,Alabama,763
Oakman,Alabama,762
Douglas,Alabama,761
PineHill,Alabama,756
Jacksons'Gap,Alabama,753
Woodville,Alabama,748
Ider,Alabama,739
Lexington,Alabama,737
Gilbertown,Alabama,727
Wedowee,Alabama,720
Columbia,Alabama,690
Pisgah,Alabama,682
Addison,Alabama,668
Leighton,Alabama,662
Baileyton,Alabama,660
St.Florian,Alabama,658
Ariton,Alabama,655
Maplesville,Alabama,641
Babbie,Alabama,633
Lynn,Alabama,617
ReeceCity,Alabama,610
Trafford,Alabama,608
WestPoint,Alabama,601
Wadley,Alabama,597
SandRock,Alabama,594
Wilton,Alabama,592
Eva,Alabama,589
Kinston,Alabama,587
Pinckard,Alabama,587
Courtland,Alabama,584
Franklin,Alabama,583
ValleyHead,Alabama,582
Grimes,Alabama,576
SouthVinemont,Alabama,574
DodgeCity,Alabama,562
PerdidoBeach,Alabama,562
OakGrove,Alabama,553
Excel,Alabama,550
Pickensville,Alabama,550
Newville,Alabama,549
Fairview,Alabama,548
Allgood,Alabama,545
GardenCity,Alabama,534
McKenzie,Alabama,503
Berlin,Alabama,498
RiverFalls,Alabama,485
NorthCourtland,Alabama,484
Castleberry,Alabama,480
Clayhatchee,Alabama,470
Avon,Alabama,466
Lockhart,Alabama,445
Forkland,Alabama,444
Hytop,Alabama,443
Millry,Alabama,443
RedLevel,Alabama,431
Elkmont,Alabama,429
Hammondville,Alabama,429
Kennedy,Alabama,427
GlenAllen,Alabama,426
PleasantGroves,Alabama,426
Lisman,Alabama,421
Midway,Alabama,420
Ranburne,Alabama,420
WestJefferson,Alabama,417
HighlandLake,Alabama,415
Hillsboro,Alabama,409
NapierField,Alabama,409
Louisville,Alabama,391
Shorter,Alabama,380
Nectar,Alabama,379
Rosa,Alabama,376
Silas,Alabama,371
Twin,Alabama,361
Sipsey,Alabama,360
Rockford,Alabama,351
Rutledge,Alabama,350
Hurtsboro,Alabama,345
Dutton,Alabama,333
Arley,Alabama,330
Pennington,Alabama,330
Thomaston,Alabama,325
Vina,Alabama,325
Shiloh,Alabama,323
Mentone,Alabama,321
Maytown,Alabama,312
CountyLine,Alabama,311
Cuba,Alabama,306
Boligee,Alabama,297
Gordon,Alabama,292
Carolina,Alabama,290
Dozier,Alabama,287
Epes,Alabama,275
Colony,Alabama,270
Goshen,Alabama,270
Langston,Alabama,268
Madrid,Alabama,265
PineRidge,Alabama,264
Hodges,Alabama,263
Coffeeville,Alabama,262
Sanford,Alabama,258
Anderson,Alabama,256
Waldo,Alabama,253
Fruithurst,Alabama,239
Gordonville,Alabama,239
Heath,Alabama,238
Repton,Alabama,234
Akron,Alabama,226
Black,Alabama,226
Detroit,Alabama,225
SweetWater,Alabama,225
Vredenburgh,Alabama,223
Woodland,Alabama,222
Fulton,Alabama,221
HornHill,Alabama,209
YellowBluff,Alabama,209
CoffeeSprings,Alabama,208
Bakerhill,Alabama,207
Edwardsville,Alabama,205
Beatrice,Alabama,203
McIntosh,Alabama,201
Gantt,Alabama,198
Belk,Alabama,188
Nauvoo,Alabama,185
Waterloo,Alabama,184
Beaverton,Alabama,183
PaintRock,Alabama,181
Kansas,Alabama,179
Union,Alabama,176
Daviston,Alabama,174
Gainesville,Alabama,174
Gaylesville,Alabama,172
BonAir,Alabama,168
Onycha,Alabama,168
Providence,Alabama,166
Loachapoka,Alabama,161
Riverview,Alabama,161
Lakeview,Alabama,160
Geiger,Alabama,156
Banks,Alabama,155
Glenwood,Alabama,152
Waverly,Alabama,152
